algorithm,scenario_index,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize,best_solution,mean_solution,worst_solution,std_solution,mean_time
CS,431,200,1,7500,3600,600,20,0.8166666666666667,0.7949999999999999,0.7858333333333334,0.0113406838908026,6922.886924648285
CS,432,200,1,7500,3600,600,30,0.8016666666666666,0.7803333333333333,0.7633333333333333,0.0126556970043797,6920.839612579346
CS,433,200,1,7500,3600,600,40,0.7983333333333333,0.78,0.7633333333333333,0.0119373363863133,6924.232522010803
CS,434,200,1,7500,3600,600,50,0.7775,0.7671666666666667,0.7616666666666667,0.0056911236929879,6925.518449497223
CS,435,200,1,7500,3600,900,10,0.8475,0.8092500000000001,0.78,0.0244770300485986,5992.368213558197
CS,436,200,1,7500,3600,900,20,0.84875,0.82225,0.8025,0.0164582805906327,5994.11002163887
CS,437,200,1,7500,3600,900,30,0.815,0.7927500000000001,0.7775,0.0122065556157336,5992.823281812668
CS,438,200,1,7500,3600,900,40,0.81875,0.8032499999999999,0.78125,0.0130527774822066,5992.812269878387
CS,439,200,1,7500,3600,900,50,0.80375,0.7927500000000001,0.7775,0.0092668764964253,5999.96801776886
CS,440,300,1,7500,3600,60,10,0.6294833407657514,0.6241343887833875,0.6214336317382624,0.0028557593139352,53763.62906475067
CS,441,300,1,7500,3600,60,20,0.6166191597471806,0.6056891676673067,0.5996656636576396,0.0057360815803014,52120.962566947936
CS,442,300,1,7500,3600,60,30,0.5954937138013844,0.5863062147727194,0.5708974358974359,0.0083543127955251,51024.18474364281
CS,443,300,1,7500,3600,60,40,0.5769444059337308,0.5716720882802182,0.5640541815486219,0.0046768329538381,50067.777442407605
CS,444,300,1,7500,3600,60,50,0.5550545966889749,0.552579268980926,0.5456725365305358,0.0034750172243252,48586.73441987038
CS,445,300,1,7500,3600,300,10,0.7436111111111111,0.7344999999999999,0.7277777777777777,0.005514850881657,17174.002522993087
CS,446,300,1,7500,3600,300,20,0.7427777777777778,0.7356111111111112,0.7322222222222222,0.003744955454745,17169.467757749557
CS,447,300,1,7500,3600,300,30,0.7333333333333333,0.7212222222222222,0.7113888888888888,0.0079458040794582,17160.723238611223
CS,448,300,1,7500,3600,300,40,0.7161111111111111,0.7104444444444444,0.7013888888888888,0.0049115635789556,17157.74272942543
CS,449,300,1,7500,3600,300,50,0.7136111111111111,0.7012222222222222,0.6938888888888889,0.0074527317056595,17162.970705270767
CS,450,300,1,7500,3600,600,10,0.8055555555555556,0.7755555555555557,0.7572222222222222,0.0164916739187377,10683.606352281571
CS,451,300,1,7500,3600,600,20,0.7688888888888888,0.7586666666666666,0.7533333333333333,0.005506449641495,10673.801445961
CS,452,300,1,7500,3600,600,30,0.7661111111111111,0.7527777777777777,0.7461111111111111,0.0075113083471802,10674.14425983429
CS,453,300,1,7500,3600,600,40,0.7527777777777778,0.7428888888888888,0.7333333333333333,0.0068709443705512,10677.635766887664
CS,454,300,1,7500,3600,600,50,0.7433333333333333,0.7376666666666666,0.7327777777777778,0.0038070759331137,10683.2000998497
CS,455,300,1,7500,3600,900,10,0.8525,0.7961666666666667,0.7616666666666667,0.0315374556854403,8509.284216547012
CS,456,300,1,7500,3600,900,20,0.8233333333333334,0.7901666666666667,0.7633333333333333,0.0272049832036542,8517.806367397308
CS,457,300,1,7500,3600,900,30,0.7816666666666666,0.7676666666666667,0.7591666666666667,0.0084557672626438,8519.38632593155
CS,458,300,1,7500,3600,900,40,0.7791666666666667,0.7696666666666666,0.76,0.0080381037011916,8517.188261795043
CS,459,300,1,7500,3600,900,50,0.7741666666666667,0.7551666666666667,0.7416666666666667,0.010690078473883,8522.910254955292
CS,460,400,1,7500,3600,60,10,0.6154505212051977,0.6042024435262068,0.5980341193705402,0.0060480830073277,77859.20614471435
CS,461,400,1,7500,3600,60,20,0.5873451197414173,0.5821378162371985,0.5773904623577826,0.004057386838908,75718.09134435654
CS,462,400,1,7500,3600,60,30,0.5772444716192805,0.5668613226392443,0.5623176536827558,0.0053377574446067,73934.81429371834
CS,463,400,1,7500,3600,60,40,0.5563046558209976,0.5489510344361223,0.540773855403114,0.0051994699619337,72661.55822663307
CS,464,400,1,7500,3600,60,50,0.5317496807151979,0.5291961977350516,0.5214187517184493,0.003913961672399,70425.31061296463
CS,465,400,1,7500,3600,300,10,0.7345833333333334,0.7302083333333333,0.7260416666666667,0.0034786052441236,27411.942650699617
CS,466,400,1,7500,3600,300,20,0.7160416666666667,0.7139583333333335,0.7120833333333333,0.0017529736639969,27400.49040336609
CS,467,400,1,7500,3600,300,30,0.71375,0.70825,0.7035416666666666,0.0032718284049001,27386.00149264336
CS,468,400,1,7500,3600,300,40,0.70125,0.6997916666666667,0.6983333333333334,0.0009501461875826,27313.91690635681
CS,469,400,1,7500,3600,300,50,0.69625,0.6929166666666667,0.69,0.0024579802006254,27282.87563624382
CS,470,400,1,7500,3600,600,10,0.76,0.7560833333333333,0.7491666666666666,0.0036761241666854,16052.180784511564
CS,471,400,1,7500,3600,600,20,0.75625,0.747,0.7366666666666667,0.0072858309981314,16044.815431547166
CS,472,400,1,7500,3600,600,30,0.7520833333333333,0.7423333333333333,0.735,0.0066175272320306,16030.734775733948
